hot,48.855382,2.344294,A: $$
hot,48.856625,2.352276,B: $$$
hot,48.872491,2.362404,C: $
hot,48.856512,2.375793,D: $$
hot,48.867071,2.338457,E: $$$
hot,48.870805,2.350152,F: $
hot,48.865716,2.382746,G: $$
hot,48.855721,2.324553,H: $
hot,48.848323,2.336998,J: $$$
hot,48.854648,2.36455,K: $$
hot,48.865208,2.349443,L: $$$
hot,48.84917,2.393904,M: $$
hot,48.851825,2.345753,N: $
hot,48.860521,2.35219,P: $$
hot,48.867128,2.367125,Q: $$$
hot,48.845951,2.346182,R: $$$
hot,48.869217,2.359829,S: $$
hot,48.868708,2.33202,T: $
hot,48.850695,2.358456,V: $$
hot,48.864135,2.340946,W: $$$
res,48.84994,2.342019,1: $
res,48.846967,2.351847,2: $$$
res,48.860634,2.36661,3: $$
res,48.863401,2.354336,4: $$$
res,48.857641,2.331676,5: $$$
res,48.853406,2.350645,6: $$
res,48.854479,2.380257,7: $$$
res,48.864079,2.377081,8: $
res,48.86995,2.355452,9: $$
res,48.868483,2.339401,10: $
res,48.860804,2.34292,11: $$
res,48.852163,2.356224,12: $$$
res,48.851373,2.366009,13: $
res,48.846402,2.35322,14: $$$
res,48.866506,2.355452,15: $$
res,48.87441,2.35219,16: $$$
res,48.878362,2.343435,17: $$
res,48.873543,2.325368,18: $
res,48.867523,2.309017,19: $$
res,48.864192,2.346096,20: $$$
res,48.863896, 2.326784,20: $$$
