hot,48.864982,2.277431,A: $$
hot,48.872265,2.298288,B: $$$
hot,48.878362,2.28919,C: $
hot,48.881071,2.276917,D: $$
hot,48.860126,2.283268,E: $$$
hot,48.842844,2.290392,F: $
hot,48.861989,2.280951,G: $$
hot,48.8749575,2.254086,H: $
hot,48.847814,2.29846,J: $$$
hot,48.868031,2.283096,K: $$
hot,48.87283,2.301207,L: $$$
hot,48.839567,2.258979,M: $$
hot,48.878644,2.297602,N: $
hot,48.887957,2.259407,P: $$
hot,48.840471,2.293739,Q: $$$
hot,48.885135,2.313309,R: $$$
hot,48.850582,2.269621,S: $$
hot,48.853575,2.281294,T: $
hot,48.8551,2.293053,V: $$
hot,48.867918,2.283268,W: $$$
res,48.864079,2.280951,1: $
res,48.866111,2.27005,2: $$$
res,48.850638,2.290306,3: $$
res,48.846911,2.299232,4: $$$
res,48.841482, 2.274771,5: $$$
res,48.878926,2.283783,6: $$
res,48.874623,2.298374,7: $$$
res,48.855552,2.283525,8: $
res,48.863796,2.283268,9: $$
res,48.848266,2.274256,10: $
res,48.843691,2.287731,11: $$
res,48.845668,2.263441,12: $$$
res,48.860747,2.27829,13: $
res,48.876612,2.310305,14: $$$
res,48.850582,2.268419,15: $$
res,48.858827,2.3067,16: $$$
res,48.873902,2.286615,17: $$
res,48.874862,2.296915,18: $
res,48.868595,2.307301,19: $$
res,48.842505,2.257776,20: $$$
